"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2020","4.050","4.020","4.050","4.020","1.79M","0.75%"
"Dec 31, 2019","4.020","4.080","4.080","4.020","17.94M","-0.50%"
"Dec 30, 2019","4.040","4.040","4.100","4.040","10.70M","0.25%"
"Dec 29, 2019","4.030","4.010","4.030","4.000","3.00M","0.25%"
"Dec 26, 2019","4.020","4.020","4.020","3.970","4.03M","0.25%"
"Dec 25, 2019","4.010","4.040","4.050","4.000","5.96M","-0.99%"
"Dec 24, 2019","4.050","4.040","4.090","4.000","8.28M","0.00%"
"Dec 23, 2019","4.050","4.050","4.070","4.000","6.04M","0.00%"
"Dec 22, 2019","4.050","4.080","4.120","4.010","5.80M","-0.98%"
"Dec 19, 2019","4.090","4.150","4.150","4.080","14.68M","-0.97%"
"Dec 18, 2019","4.130","4.050","4.140","4.050","14.10M","1.98%"
"Dec 17, 2019","4.050","4.010","4.070","4.000","13.45M","1.25%"
"Dec 16, 2019","4.000","4.030","4.030","3.990","9.30M","-0.25%"
"Dec 15, 2019","4.010","4.040","4.050","4.000","7.96M","0.50%"
"Dec 12, 2019","3.990","4.000","4.030","3.980","4.67M","-0.25%"
"Dec 11, 2019","4.000","4.000","4.080","3.980","11.38M","0.00%"
"Dec 10, 2019","4.000","4.050","4.050","3.950","18.32M","-1.23%"
"Dec 09, 2019","4.050","4.120","4.120","4.050","11.50M","-1.46%"
"Dec 08, 2019","4.110","4.100","4.160","4.100","4.04M","-0.24%"
"Dec 05, 2019","4.120","4.090","4.120","4.080","6.33M","0.73%"
"Dec 04, 2019","4.090","4.110","4.180","4.050","10.14M","-0.97%"
"Nov 28, 2019","4.130","4.140","4.160","4.090","10.96M","-0.48%"
"Nov 27, 2019","4.150","4.100","4.150","4.060","7.61M","1.22%"
"Nov 26, 2019","4.100","4.180","4.180","4.040","81.38M","-1.44%"
"Nov 25, 2019","4.160","4.120","4.170","4.120","14.66M","1.22%"
"Nov 24, 2019","4.110","4.140","4.140","4.110","667.02K","0.00%"
"Nov 21, 2019","4.110","4.150","4.150","4.090","4.05M","-0.96%"
"Nov 20, 2019","4.150","4.160","4.190","4.140","9.23M","-0.48%"
"Nov 19, 2019","4.170","4.080","4.170","4.080","6.45M","1.71%"
"Nov 18, 2019","4.100","4.120","4.130","4.050","7.14M","-0.49%"
"Nov 17, 2019","4.120","4.150","4.170","4.120","3.23M","-0.48%"
"Nov 14, 2019","4.140","4.120","4.160","4.120","4.30M","0.49%"
"Nov 13, 2019","4.120","4.150","4.160","4.120","4.29M","-0.72%"
"Nov 12, 2019","4.150","4.200","4.200","4.110","8.79M","-0.48%"
"Nov 11, 2019","4.170","4.190","4.230","4.150","26.56M","0.97%"
"Nov 10, 2019","4.130","4.180","4.180","4.120","3.34M","-1.20%"
"Nov 07, 2019","4.180","4.130","4.190","4.130","13.65M","0.97%"
"Nov 06, 2019","4.140","4.160","4.210","4.140","5.80M","-0.48%"
"Nov 05, 2019","4.160","4.270","4.270","4.130","7.15M","-1.89%"
"Nov 04, 2019","4.240","4.270","4.310","4.210","14.39M","0.00%"
"Nov 03, 2019","4.240","4.270","4.270","4.230","937.06K","-0.70%"
"Oct 31, 2019","4.270","4.310","4.320","4.210","9.84M","-0.93%"
"Oct 30, 2019","4.310","4.220","4.310","4.150","10.30M","2.38%"
"Oct 29, 2019","4.210","4.450","4.450","4.210","11.43M","-4.97%"
"Oct 28, 2019","4.430","4.480","4.490","4.430","5.42M","-1.12%"
"Oct 27, 2019","4.480","4.500","4.520","4.460","1.84M","0.22%"
"Oct 24, 2019","4.470","4.420","4.500","4.420","3.24M","1.13%"
"Oct 23, 2019","4.420","4.470","4.480","4.420","2.53M","-1.12%"
"Oct 22, 2019","4.470","4.420","4.480","4.420","2.08M","1.36%"
"Oct 21, 2019","4.410","4.430","4.490","4.410","2.16M","-0.45%"
"Oct 20, 2019","4.430","4.470","4.470","4.420","837.88K","0.00%"
"Oct 17, 2019","4.430","4.500","4.550","4.430","4.74M","-2.42%"
"Oct 16, 2019","4.540","4.540","4.600","4.500","3.76M","-0.22%"
"Oct 15, 2019","4.550","4.590","4.590","4.470","6.05M","-1.09%"
"Oct 14, 2019","4.600","4.670","4.700","4.560","8.97M","-0.86%"
"Oct 13, 2019","4.640","4.570","4.660","4.570","4.86M","1.98%"
"Oct 10, 2019","4.550","4.510","4.550","4.500","3.33M","1.11%"
"Oct 09, 2019","4.500","4.500","4.520","4.460","4.78M","0.22%"
"Oct 08, 2019","4.490","4.480","4.540","4.460","4.60M","-0.22%"
"Oct 07, 2019","4.500","4.520","4.550","4.480","2.95M","-0.22%"
"Oct 06, 2019","4.510","4.500","4.570","4.410","3.11M","0.22%"
"Oct 03, 2019","4.500","4.400","4.530","4.400","4.58M","2.27%"
"Oct 02, 2019","4.400","4.630","4.630","4.400","14.82M","-4.76%"
"Oct 01, 2019","4.620","4.670","4.680","4.610","5.76M","0.22%"
"Sep 30, 2019","4.610","4.620","4.680","4.610","4.15M","-0.43%"
"Sep 29, 2019","4.630","4.700","4.700","4.630","1.61M","-0.64%"
"Sep 26, 2019","4.660","4.750","4.810","4.550","12.34M","-1.69%"
"Sep 25, 2019","4.740","4.750","4.760","4.700","3.50M","-0.63%"
"Sep 24, 2019","4.770","4.850","4.850","4.770","3.96M","-1.24%"
"Sep 23, 2019","4.830","4.810","4.840","4.800","5.29M","1.05%"
"Sep 22, 2019","4.780","4.800","4.810","4.760","1.46M","-1.44%"
"Sep 19, 2019","4.850","4.770","4.850","4.710","22.77M","2.54%"
"Sep 18, 2019","4.730","4.810","4.850","4.720","7.98M","-1.25%"
"Sep 17, 2019","4.790","4.940","4.940","4.780","10.24M","-3.04%"
"Sep 16, 2019","4.940","4.950","4.950","4.880","9.00M","-0.20%"
"Sep 15, 2019","4.950","4.980","4.980","4.910","1.94M","-1.00%"
"Sep 12, 2019","5.000","5.000","5.030","4.990","2.82M","0.00%"
"Sep 11, 2019","5.000","5.020","5.040","4.970","5.89M","-0.79%"
"Sep 10, 2019","5.040","5.000","5.050","4.990","5.40M","0.60%"
"Sep 09, 2019","5.010","4.990","5.010","4.970","4.61M","0.40%"
"Sep 08, 2019","4.990","5.030","5.030","4.980","1.78M","-0.20%"
"Sep 05, 2019","5.000","5.040","5.080","4.990","8.93M","-0.79%"
"Sep 04, 2019","5.040","5.010","5.050","4.970","6.09M","-0.20%"
"Sep 03, 2019","5.050","5.150","5.150","4.990","6.09M","-2.32%"
"Sep 02, 2019","5.170","5.010","5.170","5.010","9.24M","3.40%"
"Sep 01, 2019","5.000","5.000","5.040","4.960","4.86M","1.01%"
"Aug 29, 2019","4.950","4.990","5.040","4.910","3.90M","-1.00%"
"Aug 28, 2019","5.000","4.920","5.000","4.920","4.40M","1.01%"
"Aug 27, 2019","4.950","4.900","4.950","4.860","13.71M","2.06%"
"Aug 26, 2019","4.850","4.780","4.890","4.760","6.81M","1.04%"
"Aug 25, 2019","4.800","4.990","4.990","4.790","8.55M","-4.00%"
"Aug 22, 2019","5.000","5.130","5.150","5.000","7.16M","-2.53%"
"Aug 21, 2019","5.130","5.150","5.180","5.120","7.24M","0.20%"
"Aug 20, 2019","5.120","5.130","5.170","5.080","7.77M","-0.19%"
"Aug 19, 2019","5.130","5.180","5.220","5.100","3.23M","-0.77%"
"Aug 18, 2019","5.170","5.200","5.230","5.170","2.37M","0.00%"
"Aug 15, 2019","5.170","5.200","5.210","5.100","7.32M","-1.90%"
"Aug 14, 2019","5.270","5.300","5.430","5.270","9.83M","-0.57%"
"Aug 08, 2019","5.300","5.250","5.340","5.220","10.74M","1.92%"
"Aug 07, 2019","5.200","5.190","5.320","5.190","11.16M","0.39%"
"Aug 06, 2019","5.180","4.950","5.180","4.950","13.30M","2.37%"
"Aug 05, 2019","5.060","5.190","5.190","5.000","10.98M","-3.25%"
"Aug 04, 2019","5.230","5.400","5.400","5.220","5.39M","-4.04%"
"Aug 01, 2019","5.450","5.500","5.500","5.420","6.86M","-1.45%"
"Jul 31, 2019","5.530","5.490","5.530","5.430","19.95M","1.65%"
"Jul 30, 2019","5.440","5.370","5.470","5.370","10.40M","1.49%"
"Jul 29, 2019","5.360","5.160","5.360","5.160","17.23M","3.88%"
"Jul 28, 2019","5.160","5.230","5.230","5.140","3.39M","-1.34%"
"Jul 25, 2019","5.230","5.200","5.270","5.170","8.06M","0.38%"
"Jul 24, 2019","5.210","5.160","5.220","5.120","11.25M","1.17%"
"Jul 23, 2019","5.150","4.970","5.150","4.970","17.47M","4.04%"
"Jul 22, 2019","4.950","4.820","5.000","4.820","12.90M","2.48%"
"Jul 21, 2019","4.830","4.890","4.890","4.830","2.71M","-1.23%"
"Jul 18, 2019","4.890","4.860","4.940","4.850","14.86M","1.87%"
"Jul 17, 2019","4.800","4.840","4.840","4.800","2.71M","-1.23%"
"Jul 16, 2019","4.860","4.860","4.880","4.800","6.98M","-0.41%"
"Jul 15, 2019","4.880","4.770","4.890","4.770","5.17M","1.67%"
"Jul 14, 2019","4.800","4.730","4.800","4.730","1.86M","1.05%"
"Jul 11, 2019","4.750","4.750","4.840","4.750","18.15M","-0.42%"
"Jul 10, 2019","4.770","4.610","4.790","4.610","17.02M","3.47%"
"Jul 09, 2019","4.610","4.560","4.610","4.550","9.90M","0.88%"
"Jul 08, 2019","4.570","4.460","4.610","4.460","12.33M","2.47%"
"Jul 07, 2019","4.460","4.480","4.490","4.440","1.24M","-0.45%"
"Jul 04, 2019","4.480","4.430","4.500","4.430","10.06M","0.67%"
"Jul 03, 2019","4.450","4.490","4.520","4.430","9.18M","-1.33%"
"Jul 02, 2019","4.510","4.460","4.510","4.460","8.70M","0.67%"
"Jul 01, 2019","4.480","4.480","4.480","4.430","4.91M","0.22%"
"Jun 30, 2019","4.470","4.430","4.470","4.430","1.67M","1.13%"
"Jun 27, 2019","4.420","4.400","4.470","4.390","7.46M","0.00%"
"Jun 26, 2019","4.420","4.410","4.460","4.400","3.98M","0.00%"
"Jun 25, 2019","4.420","4.480","4.490","4.410","9.73M","-1.34%"
"Jun 24, 2019","4.480","4.400","4.530","4.400","12.32M","1.59%"
"Jun 23, 2019","4.410","4.450","4.450","4.390","4.10M","-1.56%"
"Jun 20, 2019","4.480","4.370","4.480","4.310","22.62M","3.23%"
"Jun 19, 2019","4.340","4.330","4.360","4.300","9.08M","0.00%"
"Jun 18, 2019","4.340","4.300","4.380","4.260","4.74M","-0.23%"
"Jun 17, 2019","4.350","4.370","4.410","4.350","5.34M","-0.23%"
"Jun 16, 2019","4.360","4.460","4.500","4.360","3.57M","-2.46%"
"Jun 13, 2019","4.470","4.520","4.520","4.450","4.76M","-1.54%"
"Jun 12, 2019","4.540","4.550","4.570","4.500","11.25M","-0.87%"
"Jun 11, 2019","4.580","4.570","4.580","4.500","4.28M","0.22%"
"Jun 10, 2019","4.570","4.540","4.630","4.510","12.91M","1.56%"
"Jun 09, 2019","4.500","4.490","4.560","4.440","4.75M","0.67%"
"May 30, 2019","4.470","4.370","4.480","4.370","9.27M","1.36%"
"May 29, 2019","4.410","4.380","4.460","4.360","5.31M","-1.12%"
"May 28, 2019","4.460","4.330","4.460","4.270","17.89M","4.21%"
"May 27, 2019","4.280","4.350","4.350","4.280","2.63M","-0.47%"
"May 26, 2019","4.300","4.430","4.450","4.260","3.07M","-2.71%"
"May 23, 2019","4.420","4.290","4.420","4.280","8.92M","1.84%"
"May 22, 2019","4.340","4.170","4.340","4.150","4.89M","2.60%"
"May 21, 2019","4.230","4.130","4.230","4.060","5.70M","2.92%"
"May 20, 2019","4.110","4.130","4.230","4.100","4.84M","-0.48%"
"May 19, 2019","4.130","4.250","4.250","4.090","4.98M","-3.05%"
"May 16, 2019","4.260","4.270","4.370","4.260","5.25M","-0.23%"
"May 15, 2019","4.270","4.350","4.360","4.270","5.09M","-2.29%"
"May 14, 2019","4.370","4.200","4.440","4.200","12.59M","5.05%"
"May 13, 2019","4.160","4.400","4.400","4.130","13.80M","-5.88%"
"May 12, 2019","4.420","4.470","4.520","4.420","2.36M","-1.78%"
"May 09, 2019","4.500","4.600","4.630","4.500","4.25M","-2.81%"
"May 08, 2019","4.630","4.650","4.700","4.580","4.78M","-1.49%"
"May 07, 2019","4.700","4.720","4.720","4.680","3.41M","0.21%"
"May 06, 2019","4.690","4.710","4.780","4.690","8.32M","-0.64%"
"May 05, 2019","4.720","4.800","4.820","4.710","2.02M","-0.63%"
"May 02, 2019","4.750","4.640","4.780","4.640","10.15M","2.37%"
"May 01, 2019","4.640","4.650","4.700","4.640","6.15M","-3.33%"
"Apr 30, 2019","4.800","4.730","4.800","4.710","21.09M","2.13%"
"Apr 29, 2019","4.700","4.790","4.800","4.690","8.33M","-1.05%"
"Apr 28, 2019","4.750","4.800","4.850","4.750","2.66M","-1.04%"
"Apr 25, 2019","4.800","4.830","4.850","4.730","9.87M","-0.21%"
"Apr 24, 2019","4.810","4.900","4.930","4.790","10.65M","-2.04%"
"Apr 23, 2019","4.910","5.020","5.020","4.880","10.13M","-2.19%"
"Apr 22, 2019","5.020","4.970","5.060","4.950","7.88M","1.01%"
"Apr 21, 2019","4.970","4.980","5.000","4.930","2.28M","0.61%"
"Apr 18, 2019","4.940","5.010","5.010","4.940","4.63M","-0.60%"
"Apr 17, 2019","4.970","4.940","5.030","4.930","4.41M","0.81%"
"Apr 16, 2019","4.930","5.070","5.070","4.930","7.07M","-1.99%"
"Apr 15, 2019","5.030","5.100","5.100","5.030","7.84M","-0.79%"
"Apr 14, 2019","5.070","5.140","5.160","5.060","6.98M","-1.17%"
"Apr 11, 2019","5.130","5.120","5.180","5.100","5.89M","0.00%"
"Apr 10, 2019","5.130","5.060","5.150","5.020","11.37M","1.18%"
"Apr 09, 2019","5.070","5.070","5.100","5.040","4.30M","0.40%"
"Apr 08, 2019","5.050","5.000","5.050","4.980","5.09M","1.41%"
"Apr 07, 2019","4.980","5.040","5.060","4.980","5.06M","-0.40%"
"Apr 04, 2019","5.000","5.060","5.100","5.000","6.58M","-1.19%"
"Apr 03, 2019","5.060","5.130","5.230","5.050","12.16M","-1.36%"
"Apr 02, 2019","5.130","5.020","5.170","5.020","18.54M","3.22%"
"Apr 01, 2019","4.970","4.820","4.980","4.820","21.45M","3.97%"
"Mar 31, 2019","4.780","4.680","4.840","4.680","10.73M","2.14%"
"Mar 28, 2019","4.680","4.650","4.680","4.520","8.17M","1.74%"
"Mar 27, 2019","4.600","4.730","4.740","4.600","7.77M","-1.71%"
"Mar 26, 2019","4.680","4.780","4.780","4.680","6.50M","-2.09%"
"Mar 25, 2019","4.780","4.650","4.780","4.640","5.32M","2.14%"
"Mar 24, 2019","4.680","4.700","4.700","4.650","2.27M","-0.43%"
"Mar 21, 2019","4.700","4.660","4.720","4.650","6.42M","-1.47%"
"Mar 20, 2019","4.770","4.770","4.830","4.750","5.14M","-1.04%"
"Mar 19, 2019","4.820","4.760","4.820","4.720","13.07M","2.12%"
"Mar 18, 2019","4.720","4.640","4.760","4.630","11.83M","2.16%"
"Mar 17, 2019","4.620","4.610","4.660","4.600","2.74M","0.43%"
"Mar 14, 2019","4.600","4.700","4.760","4.580","19.16M","-2.13%"
"Mar 13, 2019","4.700","4.760","4.770","4.700","4.20M","-1.26%"
"Mar 12, 2019","4.760","4.800","4.860","4.760","6.97M","0.21%"
"Mar 11, 2019","4.750","4.700","4.780","4.670","6.42M","1.06%"
"Mar 10, 2019","4.700","4.710","4.790","4.690","4.07M","-0.84%"
"Mar 07, 2019","4.740","4.890","4.890","4.730","7.35M","-3.07%"
"Mar 06, 2019","4.890","4.910","4.920","4.830","8.58M","-0.20%"
"Mar 05, 2019","4.900","4.900","4.930","4.860","4.03M","-0.41%"
"Mar 04, 2019","4.920","4.940","4.970","4.850","5.02M","0.41%"
"Mar 03, 2019","4.900","4.900","4.960","4.880","5.40M","0.00%"
"Feb 28, 2019","4.900","4.950","4.960","4.840","14.55M","-0.61%"
"Feb 27, 2019","4.930","4.920","5.020","4.830","13.75M","0.20%"
"Feb 26, 2019","4.920","4.800","4.990","4.790","25.17M","2.50%"
"Feb 25, 2019","4.800","4.820","4.840","4.700","20.17M","-0.21%"
"Feb 24, 2019","4.810","4.650","4.820","4.650","16.32M","3.22%"
"Feb 21, 2019","4.660","4.590","4.680","4.580","17.49M","1.30%"
"Feb 20, 2019","4.600","4.350","4.610","4.340","22.60M","6.24%"
"Feb 19, 2019","4.330","4.190","4.370","4.190","16.56M","3.10%"
"Feb 18, 2019","4.200","4.190","4.230","4.140","11.64M","0.48%"
"Feb 17, 2019","4.180","4.170","4.300","4.170","13.45M","1.95%"
"Feb 14, 2019","4.100","3.900","4.180","3.900","19.84M","6.49%"
"Feb 13, 2019","3.850","3.890","3.970","3.850","14.39M","-1.03%"
"Feb 12, 2019","3.890","3.970","3.980","3.850","12.57M","-1.02%"
"Feb 11, 2019","3.930","3.990","4.030","3.930","14.29M","-1.50%"
"Feb 10, 2019","3.990","3.970","4.030","3.970","1.31M","0.00%"
"Feb 07, 2019","3.990","4.100","4.100","3.970","18.10M","-2.68%"
"Feb 06, 2019","4.100","4.100","4.160","4.080","7.85M","0.00%"
"Feb 05, 2019","4.100","4.120","4.150","4.090","8.39M","0.00%"
"Feb 04, 2019","4.100","4.170","4.210","4.100","19.34M","-1.68%"
"Feb 03, 2019","4.170","4.340","4.380","4.170","5.77M","-3.25%"
"Jan 31, 2019","4.310","4.250","4.320","4.210","10.67M","1.17%"
"Jan 30, 2019","4.260","4.290","4.290","4.190","4.74M","0.24%"
"Jan 29, 2019","4.250","4.240","4.320","4.200","10.15M","0.24%"
"Jan 28, 2019","4.240","4.180","4.270","4.180","12.21M","1.68%"
"Jan 27, 2019","4.170","4.080","4.180","4.070","4.73M","1.46%"
"Jan 24, 2019","4.110","4.130","4.160","4.060","13.63M","-0.48%"
